RR,SAP,MAP,MCBv,RESP
0.79985499382019,136.151504516602,96.4673767089844,102.08960723877,2222.19995117188
0.815108001232147,138.295166015625,98.2295074462891,102.536582946777,2470.30004882812
0.8733069896698,141.037567138672,98.0330810546875,101.120018005371,2483
0.873000979423523,139.960205078125,96.0251083374023,97.7137908935547,1882
0.823578000068665,137.70751953125,95.86376953125,97.4525527954102,2237
0.838797986507416,139.274597167969,96.5578308105469,99.5694427490234,2946
0.985078990459442,142.898498535156,95.2263565063477,95.7371520996094,2355
0.869642972946167,140.254028320312,94.3304595947266,95.3716430664062,2090
0.863596975803375,139.470489501953,95.0349273681641,98.0733337402344,2469
0.899196982383728,141.82112121582,95.6142044067383,101.629440307617,2706
0.961250007152557,143.486145019531,95.0718383789062,102.864547729492,2276
0.930994987487793,142.016998291016,94.2316284179688,102.807800292969,2065
0.880657970905304,141.527282714844,94.6569442749023,104.549057006836,2886
0.917065978050232,144.171752929688,96.3222961425781,106.86083984375,2504
0.931524991989136,144.661468505859,95.8905181884766,106.820671081543,2226
0.908676028251648,142.996429443359,94.6197662353516,105.338829040527,2239
0.839757978916168,139.960205078125,94.3686676025391,104.834030151367,2783
0.835994005203247,142.800552368164,97.3930587768555,108.200424194336,2450
0.881663978099823,144.955291748047,97.3441848754883,106.835319519043,2351
0.931801021099091,144.465576171875,95.6478500366211,102.355903625488,2096
0.897845983505249,142.212890625,94.757682800293,98.9723052978516,2462
0.865266978740692,142.016998291016,95.954231262207,99.704704284668,2768
0.885807991027832,143.975860595703,97.0880508422852,100.26579284668,2279
0.921447992324829,150.244216918945,98.1070214230902,99.1158294677734,2103
0.836223006248474,145.934722900391,98.3048782348633,96.8708953857422,2315
0.7274169921875,141.233459472656,97.2414016723633,96.3509674072266,2840
0.758858799934387,138.980773925781,97.1048278808594,97.4128723144531,2528
0.724552989006042,143.192321777344,99.1551361083984,101.19677734375,2401
0.800742983818054,146.71826171875,99.7069473266602,101.234016418457,2168
0.911095023155212,147.423446655273,99.2683258056641,97.8206634521484,2397
0.922524988651276,146.669281005859,98.3473739624023,94.6051940917969,2277
0.865701019763947,145.817184448242,97.4521484375,95.3280181884766,2663
0.839451014995575,146.228546142578,97.0907363891602,100.537124633789,2551
0.868703007698059,149.264785766602,97.7712173461914,103.54271697998,2333
0.907477974891663,149.264785766602,97.8090896606445,102.193603515625,2184
0.858404994010925,146.914154052734,96.3786468505859,101.411727905273,2283
0.830694973468781,146.522384643555,97.4531860351562,103.059272766113,2885
0.876236021518707,149.264785766602,98.3511047363281,105.499076843262,2430
0.922573983669281,149.460678100586,97.6860504150391,104.758239746094,2193
0.916705012321472,148.77507019043,96.6097640991211,102.64778137207,2143
0.874128997325897,145.445007324219,95.6340179443359,100.532752990723,2790
0.833585023880005,147.012100219727,97.7961578369141,103.024139404297,2475
0.85895299911499,148.481246948242,98.8060607910156,104.793243408203,2260
0.905466020107269,149.166839599609,98.5462341308594,102.602668762207,2175
0.870616018772125,147.207977294922,98.0048446655273,98.3557052612305,2271
0.822889983654022,146.522384643555,97.7530364990234,97.9508590698242,2853
0.858331024646759,148.970962524414,99.8721923828125,99.6001510620117,2469
0.926663994789124,151.223648071289,98.9584503173828,97.3572158813477,2240
0.914713025093079,149.656555175781,97.4189300537109,95.3587341308594,2084
0.856149971485138,146.228546142578,97.3045501708984,95.2950973510742,2593
0.879221022129059,148.873016357422,98.8063888549805,98.4936141967773,2664
0.962247014045715,150.538040161133,97.767204284668,97.2279586791992,2296
0.970368027687073,149.264785766602,95.8511276245117,95.2591171264648,2077
0.880937993526459,145.445007324219,94.2278900146484,94.766471862793,2573
0.86168897151947,145.151184082031,96.0203552246094,99.1515426635742,2647
0.914161026477814,147.501815795898,96.9222869873047,102.431785583496,2288
0.977967023849487,147.893585205078,94.9888229370117,99.9435577392578,2151
0.931470990180969,146.424438476562,95.2977752685547,98.5240936279297,2387
0.873077988624573,144.26969909668,95.0991134643555,99.3069839477539,2733
0.859643995761871,146.032669067383,97.9497833251953,102.027038574219,2410
0.90564900636673,148.677124023438,98.6545486450195,102.014274597168,2285
0.949795007705688,148.970962524414,97.6969375610352,99.8391494750977,2131
0.904439985752106,147.207977294922,96.9451522827148,98.2701187133789,2449
0.860255002975464,145.249130249023,97.3437576293945,99.8854522705078,2717
0.893525004386902,148.970962524414,99.0464096069336,101.392593383789,2355
0.948647022247314,150.146270751953,98.1861877441406,99.5876007080078,2210
0.985710024833679,147.795639038086,95.7529296875,95.0348587036133,2178
0.880995988845825,144.759414672852,95.2475662231445,95.4575596560081,2807
0.867556989192963,146.71826171875,97.6896209716797,98.7348861694336,2458
0.913836002349854,149.460678100586,98.4707794189453,100.178863525391,2242
0.961696028709412,148.970962524414,97.006591796875,98.5736389160156,2151
0.891875028610229,146.816207885742,97.1208190917969,97.9419708251953,2413
0.864331007003784,146.914154052734,98.5644912719727,99.6169052124023,2736
0.951968014240265,149.754501342773,98.0306015014648,100.33812713623,2383
1.05388903617859,148.77507019043,94.8581695556641,96.3928909301758,2193
1.0032639503479,146.032669067383,93.8237762451172,95.0566177368164,2347
0.922766983509064,142.996429443359,93.7962417602539,94.6931457519531,2811
0.91457200050354,144.465576171875,94.8587799072266,96.9374923706055,2396
0.969259023666382,146.032669067383,95.7228622436523,98.6065444946289,2271
0.968779981136322,145.445007324219,95.2626113891602,98.2129592895508,2159
0.90674102306366,142.996429443359,94.7972412109375,97.4620132446289,2500
0.88289201259613,143.682037353516,96.622688293457,100.586364746094,2707
0.963482975959778,146.71826171875,96.8212814331055,102.427322387695,2327
0.98486202955246,147.012100219727,96.5538330078125,101.612739562988,2052
0.966219007968903,144.955291748047,95.8064270019531,99.3871307373047,2445
0.926281988620758,143.682037353516,95.384895324707,97.6550674438477,2768
0.922150015830994,144.661468505859,96.4001846313477,99.8087005615234,2339
0.997639000415802,146.620330810547,95.6792907714844,98.6162872314453,2248
1.00600302219391,143.975860595703,93.9729919433594,96.1670455932617,2138
0.937743008136749,142.506713867188,94.3940999925914,95.4956817626953,2765
0.922426998615265,142.702606201172,95.5686569213867,95.4954376220703,2517
0.916262984275818,145.445007324219,95.9686508178711,95.8136672973633,2275
0.971762001514435,145.445007324219,96.858024597168,95.6602401733398,2178
0.947874009609222,144.465576171875,95.9389114379883,94.771598815918,2398
0.922612011432648,143.486145019531,96.2133255004883,94.6518630981445,2733
0.984028995037079,145.934722900391,96.4864730834961,96.625373840332,2367
1.0269593000412,145.738830566406,93.1374130249023,95.4188919067383,2193
1.00598299503326,142.212890625,91.5225372314453,96.8523635864258,2385
0.875680029392242,139.274597167969,93.7139587402344,102.705856323242,2801
0.894556999206543,144.661468505859,97.5043792724609,109.308547973633,2421
0.992994487285614,147.207977294922,93.7530288696289,103.578002929688,2120
1.02416801452637,143.779983520508,99.3106658935548,102.57048034668,2419
0.841252982616425,148.011123657227,96.8701934814453,107.510063171387,2809
0.884522974491119,154.534133911133,100.101371765137,106.679176330566,2347
0.973295331001282,157.981719970703,100.477966308594,102.646057128906,2275
0.993085980415344,152.986618041992,99.4887542724609,97.9789428710938,2234
0.829410970211029,149.460678100586,102.479362487793,101.01831817627,2921
0.872186005115509,155.533142089844,105.445686340332,104.846099853516,2448
1.12537097930908,157.883773803711,101.036491394043,96.6585006713867,2216
1.08371198177338,153.770156860352,98.9060974121094,92.439567565918,2178
0.846749007701874,149.264785766602,100.771179199219,96.4316864013672,2993
0.865163028240204,154.749588012695,103.503898620605,101.728073120117,2411
0.955960988998413,155.239303588867,102.941841125488,100.393623352051,2284
0.959505021572113,155.337249755859,101.673957824707,97.5235137939453,2041
0.893572986125946,152.986618041992,101.77906036377,96.3915176391602,2699
0.893869996070862,153.476333618164,101.741722106934,97.8943634033203,2636
0.972603976726532,156.022857666016,102.313179016113,97.8771514892578,2304
0.964667022228241,154.94548034668,100.102264404297,96.8113784790039,2051
0.906813025474548,150.44010925293,98.7818069458008,97.1111373901367,2466
0.925206005573273,151.027755737305,99.0102157592773,97.3213806152344,2727
1.06103801727295,152.007186889648,96.4996109008789,96.1678771972656,2316
1.11834502220154,149.754501342773,93.2888259887695,95.0536727905273,2055
1.02507901191711,145.053237915039,91.2940063476562,96.7001266479492,2759
0.911379992961884,142.996429443359,93.5691528320312,101.829490661621,2563
0.953315019607544,146.228546142578,95.7556381225586,106.670783996582,2348
1.10000395774841,147.501815795898,92.8605194091797,100.845008850098,2140
0.935782015323639,143.290267944336,93.2180252075195,98.8637542724609,2530
0.842135012149811,144.955291748047,98.0881423950195,101.510238647461,2656
1.0689400434494,149.656555175781,95.6427536010742,96.0139617919922,2347
1.12378001213074,148.970962524414,93.2846069335938,92.3711124016384,2035
1.00534403324127,144.465576171875,93.1440277099609,92.9829131892582,2661
0.921212017536163,144.171752929688,95.1621475219727,96.4274063110352,2656
0.947143971920013,146.71826171875,97.2526550292969,100.61107635498,2395
0.900855004787445,147.501815795898,97.9997253417969,101.887336730957,2083
0.859263002872467,146.228546142578,99.1987380981445,101.02042388916,2363
0.87942099571228,148.970962524414,100.379180908203,100.357208251953,2811
0.980078995227814,151.615417480469,99.9224624633789,97.9280319213867,2313
1.00704896450043,151.517471313477,99.1406402587891,97.1990536200094,1914
0.96151202917099,148.970962524414,98.3299713134766,98.4016723632812,2589
0.921141982078552,147.893585205078,99.4313049316406,100.574813842773,2590
0.949548006057739,149.950393676758,99.1325531005859,102.244636535645,2414
1.00034701824188,150.44010925293,98.1048049926758,100.434967041016,2123
0.931675970554352,147.207977294922,97.8123779296875,100.40901184082,2359
0.887399017810822,147.697692871094,99.2606048583984,102.866004943848,2816
0.9410520195961,151.419525146484,100.076591491699,105.322563171387,2413
0.980835020542145,151.419525146484,99.4000625610352,104.519996643066,2065
0.935302972793579,149.460678100586,98.2838516235352,103.810211181641,2378
0.872289001941681,147.99153137207,99.609260559082,103.658363342285,2777
0.906845986843109,150.929809570312,99.8248672485352,105.432502746582,2423
0.989273011684418,151.909240722656,98.6826248168945,103.283134460449,2268
0.979672014713287,149.950393676758,97.4774932861328,101.362442016602,2112
0.912006974220276,146.522384643555,97.3004531860352,101.223899841309,2842
0.907368004322052,148.77507019043,98.2042999267578,103.150756835938,2520
0.964276015758514,150.733932495117,98.3551864624023,103.160125732422,2297
0.995118975639343,150.929809570312,96.7736053466797,101.972473144531,2038
0.913574993610382,148.187408447266,97.1328201293945,101.368896484375,2545
0.883170008659363,150.048324584961,99.8497695922852,105.31436920166,2691
0.929982006549835,153.966049194336,99.8197913644752,107.247863769531,2354
0.965052008628845,152.986618041992,98.7754135131836,104.561653137207,2013
0.901103019714355,150.44010925293,99.1206665039062,103.53929901123,2517
0.954931020736694,152.986618041992,98.7787017822266,104.660545349121,2691
0.960555970668793,153.672225952148,98.7620468139648,104.048713684082,2254
0.894559979438782,150.635986328125,98.2297668457031,102.981758117676,2082
0.898777008056641,150.733932495117,98.4511413574219,102.434989929199,2744
0.975201010704041,153.672225952148,98.1384201049805,101.161567687988,2601
0.99864798784256,152.203079223633,96.2693634033203,98.7240524291992,1950
0.92458701133728,149.166839599609,95.9025726318359,100.419059753418,2425
0.888485014438629,148.38330078125,96.3357391357422,101.649909973145,2727
0.918084979057312,150.733932495117,97.2754058837891,104.914390563965,2387
0.986325979232788,151.713363647461,95.6406860351562,103.2421875,2260
0.931613028049469,148.187408447266,94.4328460693359,100.890991210938,2213
0.892880976200104,147.599761962891,95.1002044677734,102.618957519531,2833
0.924799978733063,150.244216918945,96.6786422729492,104.588005065918,2442
0.97290700674057,151.223648071289,98.4595794677734,104.059448242188,2086
0.920009970664978,152.467529296875,98.4497146606445,104.51252746582,2334
0.871399998664856,154.044403076172,94.6557693481445,103.785430908203,2810
0.932012021541595,156.022857666016,100.215682983398,104.99356842041,2460
0.967974007129669,158.471435546875,101.485733032227,103.715370178223,2275
0.98274701833725,157.492004394531,99.8217544555664,102.606178283691,2092
0.899251997470856,153.672225952148,100.712020874023,103.300575256348,2831
0.910652995109558,156.904342651367,102.913055419922,106.277015686035,2535
0.995854020118713,160.72412109375,103.218856811523,106.424667358398,2297
1.02672100067139,158.961135864258,100.67945098877,103.965843200684,1996
0.877539992332458,154.749588012695,101.279228210449,105.430183410645,2738
0.856274008750916,158.177597045898,105.072387695312,110.265235900879,2667
0.941852986812592,161.997375488281,105.944145202637,110.98087310791,2302
0.959955990314484,161.997375488281,103.7978515625,108.786018371582,2327.16674804688
0.894553005695343,157.492004394531,103.061599731445,104.663505554199,2552
0.851813018321991,159.254974365234,105.385787963867,105.894569396973,2786
0.906310021877289,161.997375488281,106.495338439941,107.291007995605,2298
0.957632005214691,162.487091064453,105.185928344727,103.418807983398,1939
0.940425992012024,159.744689941406,103.47435760498,98.1642532348633,2333
0.863834023475647,157.687881469727,104.196434020996,96.4054489135742,2875
0.897617995738983,160.72412109375,105.654205322266,97.908317565918,2395
0.945289015769958,162.291198730469,105.646690368652,97.2727127075195,2238
0.94225800037384,159.744689941406,103.809837341309,96.2621154785156,2112
0.871954023838043,157.785827636719,103.517524719238,97.3789978027344,2896
0.890583992004395,161.507659912109,105.700714111328,101.695350646973,2572
0.937451004981995,163.172698974609,105.275932312012,102.09627532959,2285
0.908406972885132,161.507659912109,104.163009643555,101.925132751465,1969
0.881003975868225,158.471435546875,103.626571655273,101.497100830078,2736
0.913951992988586,160.234405517578,103.749710083008,101.770141601562,2637
0.968652009963989,160.72412109375,102.824111938477,100.431716918945,2289
0.974861025810242,158.765258789062,100.601295471191,99.7620162963867,1972
0.878522992134094,155.043426513672,100.404083251953,100.185774531172,2716
0.929728984832764,157.785827636719,101.109878540039,101.34001159668,2635
0.938467025756836,158.177597045898,101.638336181641,102.350646972656,2357
0.925372004508972,156.708450317383,100.441528320312,101.397636413574,2018
0.890610992908478,154.749588012695,100.312774658203,101.062347412109,2720
0.938129007816315,157.492004394531,101.123039245605,103.111778259277,2581
0.98376601934433,158.863204956055,100.409057617188,103.010200500488,2311
0.965364992618561,156.218734741211,99.1680297851562,103.222129821777,2095
0.902810990810394,154.455764770508,99.5370635986328,103.342704772949,2814
0.923337996006012,156.708450317383,100.659973144531,104.040718078613,2540
0.973335981369019,157.687881469727,100.390548706055,102.972007751465,2295
0.953302025794983,155.239303588867,98.390625,100.817207336426,2055
0.877755999565125,154.066156929008,98.4822158813477,99.9359436035156,2786
0.875710010528564,155.239303588867,100.600341796875,103.365089416504,2574
0.917725026607513,157.394058227539,101.750007629395,104.527412414551,2295
0.892471015453339,156.218734741211,100.892784118652,101.95516204834,1989
0.875826001167297,153.770156860352,100.34268951416,98.5206146240234,2564
0.90700101852417,157.002288818359,101.293968200684,98.758903503418,2760
0.962360024452209,158.177597045898,101.26749420166,97.7109603881836,2267
0.95142706183824,155.729019165039,98.3312683105469,95.7836608886719,1950
0.903694987297058,152.007186889648,97.8466949462891,97.3169708251953,2844
0.897289991378784,154.455764770508,100.412612915039,100.886085510254,2594
0.977612972259521,156.414627075195,98.5149993896484,101.422080993652,2250
0.958193004131317,155.043426513672,98.4845123291016,100.967864990234,2075
0.895875990390778,151.223648071289,97.3270263671875,99.9172134399414,2668
0.876955986022949,153.280456542969,99.5710906982422,101.670875549316,2664
0.95091700553894,155.533142089844,100.04923248291,102.206718444824,2305
0.968155980110168,155.729019165039,98.5679779052734,100.187973022461,1936
0.895817995071411,151.321594238281,98.1303100585938,98.7048721313477,2528
0.857668995857239,151.419525146484,99.2401504516602,100.497352600098,2765
0.904551982879639,155.435195922852,100.959457397461,99.6562194824219,2387
0.961329996585846,156.708450317383,100.435554504395,95.855110168457,1968
0.939055025577545,153.966049194336,99.0908660888672,92.10693359375,2401
0.818961024284363,152.007186889648,100.297332763672,91.8259887695312,2844
0.882164001464844,157.687881469727,102.029304504395,96.1430206298828,2521
0.946808993816376,158.961135864258,101.952507019043,95.7538223266602,2220
0.989211022853851,157.687881469727,99.2118148803711,92.0925216674805,2049
0.906883001327515,154.455764770508,98.1183090209961,93.1533737182617,2754
0.873549997806549,156.218734741211,100.624656677246,97.4745178222656,2625
0.925718009471893,157.687881469727,101.066040039062,100.196113586426,2297
0.962099015712738,158.471435546875,99.8913345336914,98.0794067382812,1965
0.881807029247284,154.5537109375,102.443801879883,97.1458282470703,2530
0.857513010501862,155.915115356445,103.50553894043,99.9921340942383,2757
0.892145991325378,159.362716674805,97.8586578369141,101.391342163086,2365
0.961428999900818,161.703552246094,102.308494567871,99.1797103881836,1930
0.96554297208786,159.744689941406,99.6573486328125,97.0932159423828,2435
